"pk_entity";"pk_birth";"date_birth";"pk_death";"date_death"
6488702;7504629;"(1680, 11, 8)";7742336;"(1680, 1, 1)"
6488772;7504690;"(1673, 1, 1)";7742397;"(1673, 1, 1)"
6488802;7504718;"(1682, 7, 25)";7742425;"(1682, 1, 1)"
6488785;7504702;"(1670, 1, 1)";7742409;"(1670, 1, 1)"
6488804;7504720;"(1679, 1, 1)";7742427;"(1679, 1, 1)"
6488805;7504721;"(1681, 2, 23)";7742428;"(1681, 1, 1)"
6488818;7504733;"(1669, 1, 1)";7742440;"(1669, 1, 1)"
6488838;7504752;"(1669, 1, 1)";7742459;"(1669, 1, 1)"
6488847;7504759;"(1679, 2, 11)";7742466;"(1679, 1, 1)"
6488864;7504774;"(1683, 1, 1)";7742481;"(1683, 1, 1)"
6488868;7504778;"(1670, 1, 1)";7742485;"(1670, 1, 1)"
6488963;7504863;"(1650, 1, 1)";7742570;"(1650, 1, 1)"
